timestamp,temperature.gpu,utilization.gpu,utilization.memory,clocks.sm,clocks.gr,power.draw,pstate,clocks_event_reasons.active
# start 2026-08-28 09:32:10 PDT
2026/08/28 09:33:53.605, 54, 0, 0, 2411, 2411, 12.98, P0, 0x0000000000000000
2026/08/28 09:33:53.705, 54, 0, 0, 2411, 2411, 12.98, P0, 0x0000000000000000
2026/08/28 09:33:53.805, 54, 0, 0, 2411, 2411, 12.98, P0, 0x0000000000000000
2026/08/28 09:33:53.905, 54, 0, 0, 2411, 2411, 12.98, P0, 0x0000000000000000
2026/08/28 09:33:54.005, 54, 0, 0, 2411, 2411, 12.98, P0, 0x0000000000000000
2026/08/28 09:33:54.106, 54, 0, 0, 2411, 2411, 12.98, P0, 0x0000000000000000
2026/08/28 09:33:54.206, 54, 0, 0, 2411, 2411, 12.98, P0, 0x0000000000000000
2026/08/28 09:33:54.306, 54, 0, 0, 2411, 2411, 12.98, P0, 0x0000000000000000
2026/08/28 09:33:54.406, 54, 0, 0, 2411, 2411, 12.98, P0, 0x0000000000000000
2026/08/28 09:33:54.506, 54, 0, 0, 2411, 2411, 12.98, P0, 0x0000000000000000
2026/08/28 09:33:54.606, 54, 0, 0, 2411, 2411, 12.96, P0, 0x0000000000000000
2026/08/28 09:33:54.706, 54, 0, 0, 2411, 2411, 12.96, P0, 0x0000000000000000
2026/08/28 09:33:54.806, 54, 0, 0, 2411, 2411, 12.96, P0, 0x0000000000000000
2026/08/28 09:33:54.906, 54, 0, 0, 2411, 2411, 12.96, P0, 0x0000000000000000
2026/08/28 09:33:55.007, 54, 0, 0, 2411, 2411, 12.96, P0, 0x0000000000000000
2026/08/28 09:33:55.107, 54, 0, 0, 2411, 2411, 12.95, P0, 0x0000000000000000
2026/08/28 09:33:55.207, 54, 0, 0, 2411, 2411, 12.95, P0, 0x0000000000000000
2026/08/28 09:33:55.307, 54, 0, 0, 2411, 2411, 12.95, P0, 0x0000000000000000
2026/08/28 09:33:55.407, 54, 0, 0, 2411, 2411, 12.95, P0, 0x0000000000000000
2026/08/28 09:33:55.507, 54, 0, 0, 2411, 2411, 12.95, P0, 0x0000000000000000
2026/08/28 09:33:55.607, 54, 0, 0, 2411, 2411, 12.97, P0, 0x0000000000000000
2026/08/28 09:33:55.708, 54, 0, 0, 2411, 2411, 12.97, P0, 0x0000000000000000
2026/08/28 09:33:55.808, 54, 0, 0, 2411, 2411, 12.97, P0, 0x0000000000000000
2026/08/28 09:33:55.908, 54, 0, 0, 2411, 2411, 12.97, P0, 0x0000000000000000
2026/08/28 09:33:56.008, 54, 0, 0, 2411, 2411, 12.97, P0, 0x0000000000000000
2026/08/28 09:33:56.108, 65, 96, 0, 2411, 2411, 22.30, P0, 0x0000000000000000
2026/08/28 09:33:56.208, 65, 96, 0, 2411, 2411, 22.30, P0, 0x0000000000000000
2026/08/28 09:33:56.308, 65, 96, 0, 2411, 2411, 22.30, P0, 0x0000000000000000
2026/08/28 09:33:56.409, 65, 96, 0, 2411, 2411, 22.30, P0, 0x0000000000000000
2026/08/28 09:33:56.509, 65, 96, 0, 2411, 2411, 22.30, P0, 0x0000000000000000
2026/08/28 09:33:56.609, 63, 96, 0, 2470, 2470, 52.21, P0, 0x0000000000000000
2026/08/28 09:33:56.709, 63, 96, 0, 2470, 2470, 52.21, P0, 0x0000000000000000
2026/08/28 09:33:56.809, 63, 96, 0, 2470, 2470, 52.21, P0, 0x0000000000000000
2026/08/28 09:33:56.909, 63, 96, 0, 2470, 2470, 52.21, P0, 0x0000000000000000
2026/08/28 09:33:57.010, 63, 96, 0, 2470, 2470, 52.21, P0, 0x0000000000000000
2026/08/28 09:33:57.110, 67, 96, 0, 2463, 2463, 74.29, P0, 0x0000000000000000
2026/08/28 09:33:57.210, 67, 96, 0, 2463, 2463, 74.29, P0, 0x0000000000000000
2026/08/28 09:33:57.310, 67, 96, 0, 2463, 2463, 74.29, P0, 0x0000000000000000
2026/08/28 09:33:57.410, 67, 96, 0, 2463, 2463, 74.29, P0, 0x0000000000000000
2026/08/28 09:33:57.510, 67, 96, 0, 2463, 2463, 74.29, P0, 0x0000000000000000
2026/08/28 09:33:57.610, 62, 96, 0, 2463, 2463, 74.11, P0, 0x0000000000000000
2026/08/28 09:33:57.711, 62, 96, 0, 2463, 2463, 74.11, P0, 0x0000000000000000
2026/08/28 09:33:57.811, 62, 96, 0, 2463, 2463, 74.11, P0, 0x0000000000000000
2026/08/28 09:33:57.911, 62, 96, 0, 2463, 2463, 74.11, P0, 0x0000000000000000
