request_id,successful,ttft,request_latency,num_input_tokens,num_output_tokens,decode_speed,submit_time,first_token_time,finish_time,error
doc277_q0,True,2.792893648147583,6.43433141708374,16023,128,35.150950839232685,1787895929.5869331,1787895932.3798268,1787895936.0212646,
doc98_q1,True,4.7427077293396,6.44350004196167,16023,128,75.25904194772934,1787895929.6860445,1787895934.4287522,1787895936.1295445,
doc303_q1,True,2.8466546535491943,6.467433929443359,16024,128,35.351505918125845,1787895936.0215833,1787895938.868238,1787895942.4890172,
doc29_q1,True,4.777712106704712,6.465883016586304,16023,128,75.82170694374653,1787895936.129659,1787895940.907371,1787895942.595542,
doc82_q2,True,2.802286386489868,6.261700630187988,16023,128,37.00048360301823,1787895942.4892564,1787895945.2915428,1787895948.750957,
doc75_q2,True,4.753067970275879,6.250312328338623,16023,128,85.49038726425175,1787895942.5956829,1787895947.3487508,1787895948.8459952,
doc78_q0,True,0.589292049407959,4.429598331451416,16022,128,33.33067484708282,1787895948.7512753,1787895949.3405674,1787895953.1808736,
doc108_q1,True,2.766573667526245,4.4439332485198975,16024,128,76.31041158400512,1787895948.846113,1787895951.6126866,1787895953.2900462,
doc90_q2,True,2.822741985321045,6.457517862319946,16023,128,35.21537622443033,1787895953.181144,1787895956.003886,1787895959.6386619,
doc210_q1,True,4.7804481983184814,6.446098804473877,16024,128,76.84684862898453,1787895953.2901359,1787895958.070584,1787895959.7362347,
doc251_q1,True,2.8206419944763184,6.481352090835571,16024,128,34.96589367382628,1787895959.638922,1787895962.459564,1787895966.120274,
doc41_q0,True,4.788743019104004,6.483286380767822,16022,128,75.53657397962414,1787895959.7363632,1787895964.5251062,1787895966.2196496,
doc212_q2,True,2.82657527923584,6.301318645477295,16024,128,36.83725285831813,1787895966.1205013,1787895968.9470766,1787895972.42182,
doc160_q2,True,4.808505296707153,6.295591354370117,16024,128,86.07437299301893,1787895966.2197223,1787895971.0282276,1787895972.5153136,
doc171_q2,True,2.781118869781494,6.2575294971466064,16024,128,36.81958598113465,1787895972.4220445,1787895975.2031634,1787895978.679574,
doc139_q0,True,4.762230157852173,6.257028818130493,16023,128,85.63026138661868,1787895972.5153806,1787895977.2776108,1787895978.7724094,
doc93_q1,True,2.805251121520996,6.465875864028931,16023,128,34.966708964630385,1787895978.6798384,1787895981.4850895,1787895985.1457143,
doc67_q1,True,4.783709764480591,6.472454309463501,16023,128,75.79595172062885,1787895978.7724903,1787895983.5562,1787895985.2449446,
doc39_q0,True,2.817023754119873,6.262997627258301,16022,128,37.144797004344014,1787895985.1459827,1787895987.9630065,1787895991.4089804,
doc61_q2,True,4.768341302871704,6.257004737854004,16023,128,85.98316919198187,1787895985.2450256,1787895990.013367,1787895991.5020304,
doc140_q0,True,2.788031816482544,6.44180703163147,16023,128,35.03225909171941,1787895991.409244,1787895994.1972759,1787895997.851051,
doc152_q2,True,4.765364646911621,6.450824975967407,16024,128,75.9436444711262,1787895991.502108,1787895996.2674727,1787895997.952933,
doc315_q2,True,2.8252344131469727,6.466571569442749,16024,128,35.15192208408698,1787895997.851337,1787896000.6765714,1787896004.3179085,
